"ID","Species","authors_gbifID","year_of_publication","country_of_collection","locallity_of_collection","y","x","coordinate_source","year_of_collection","identification_method"
132,"target_group","1826362922",NA,"Senegal","Diokhor. Richard Toll. St Louis",16.189458,-15.882375,"gbif","2016","unknown"
133,"target_group","1826362943",NA,"Senegal","Mbakhana. Richard Toll. St Louis",16.091283,-16.367225,"gbif","2016","unknown"
134,"target_group","1826362949",NA,"Côte d'Ivoire","Gbeke. Beoumi. Kongobo",7.763982,-5.476109,"gbif","2016","unknown"
135,"target_group","1826362968",NA,"Senegal","Ndiol Maure. Richard Toll. St Louis",16.151193,-16.312328,"gbif","2016","unknown"
136,"target_group","1826362982",NA,"Yemen","Amran. Shibam",15.496715,43.954237,"gbif","2016","unknown"
137,"target_group","1826362996",NA,"Senegal","Ndiawdoune. Richard Toll. St Louis",16.068003,-16.393755,"gbif","2016","unknown"
138,"target_group","1826363111",NA,"Senegal","Guidik. Richard Toll. St Louis",16.111335,-15.905207,"gbif","2016","unknown"
139,"target_group","1826363117",NA,"Senegal","Lampsar. Richard Toll. St Louis",16.109324,-16.349507,"gbif","2016","unknown"
140,"target_group","1826363120",NA,"Senegal","Gankette. Richard Toll. St Louis",15.911347,-15.943248,"gbif","2016","unknown"
141,"target_group","1826363157",NA,"Senegal","Malla Tack. Richard Toll. St Louis",16.13497,-15.884428,"gbif","2016","unknown"
142,"target_group","1826363183",NA,"Senegal","Diokhoul. Richard Toll. St Louis",15.966245,-15.965795,"gbif","2016","unknown"
143,"target_group","1826363192",NA,"Senegal","Malla Tack. Richard Toll. St Louis",16.132903,-15.886163,"gbif","2016","unknown"
144,"target_group","1826363265",NA,"Yemen","Al-Mahweet. Al-Mahweet",15.458379,43.542723,"gbif","2016","unknown"
145,"target_group","1826363279",NA,"Yemen","Hajah. Hajah",15.708722,43.606156,"gbif","2016","unknown"
146,"target_group","1826363313",NA,"Senegal","Guidik. Richard Toll. St Louis",16.115266,-15.904407,"gbif","2016","unknown"
147,"target_group","1826363335",NA,"Yemen","Amran. Shibam",15.509937,43.937969,"gbif","2016","unknown"
