"source","population","temperature","country","weeks_survived","survived","exp_length","sample_size","experiment_index","population_index"
,,24,"Senegal",5,0,15,,13,1
,,24,"Senegal",,1,7,,13,1
,,24,"Senegal",7,0,15,,13,1
,,24,"Senegal",2,0,15,,13,1
,,24,"Senegal",,1,3,,13,1
,,24,"Senegal",3,0,15,,13,1
,,24,"Senegal",,1,7,,13,1
,,24,"Senegal",5,0,15,,13,1
,,24,"Senegal",7,0,15,,13,1
,,24,"Senegal",0,0,15,,13,1
,,24,"Senegal",,1,1,,13,1
,,24,"Senegal",0,0,15,,13,1
,,24,"Senegal",,1,4,,13,1
,,24,"Senegal",2,0,15,,13,1
,,24,"Senegal",,1,3,,13,1
,,24,"Senegal",4,0,15,,13,1
,,24,"Senegal",1,0,15,,13,1
,,24,"Senegal",,1,4,,13,1
,,24,"Senegal",7,0,15,,13,1
,,24,"Senegal",,1,7,,13,1
,,24,"Senegal",5,0,15,,13,1
,,24,"Senegal",3,0,15,,13,1
,,24,"Senegal",2,0,15,,13,1
,,24,"Senegal",,1,3,,13,1
,,24,"Senegal",4,0,15,,13,1
,,24,"Senegal",,1,4,,13,1
,,24,"Senegal",0,0,15,,13,1
,,24,"Senegal",4,0,15,,13,1
,,24,"Senegal",,1,4,,13,1
,,24,"Senegal",2,0,15,,13,1
,,24,"Zimbabwe",1,0,15,,14,2
,,24,"Zimbabwe",,1,0,,14,2
,,24,"Zimbabwe",,1,1,,14,2
,,24,"Zimbabwe",13,0,15,,14,2
,,24,"Zimbabwe",2,0,15,,14,2
,,24,"Zimbabwe",,1,13,,14,2
,,24,"Zimbabwe",,1,4,,14,2
,,24,"Zimbabwe",,1,2,,14,2
,,24,"Zimbabwe",,1,5,,14,2
,,24,"Zimbabwe",6,0,15,,14,2
,,24,"Zimbabwe",,1,10,,14,2
,,24,"Zimbabwe",10,0,15,,14,2
,,24,"Zimbabwe",,1,2,,14,2
,,24,"Zimbabwe",,1,4,,14,2
,,24,"Zimbabwe",1,0,15,,14,2
,,24,"Zimbabwe",,1,0,,14,2
,,24,"Zimbabwe",1,0,15,,14,2
,,24,"Zimbabwe",2,0,15,,14,2
,,24,"Zimbabwe",,1,5,,14,2
,,24,"Zimbabwe",5,0,15,,14,2
,,24,"Zimbabwe",,1,-1,,14,2
,,24,"Zimbabwe",,1,13,,14,2
,,24,"Zimbabwe",,1,13,,14,2
,,24,"Zimbabwe",,1,13,,14,2
,,24,"Zimbabwe",,1,11,,14,2
,,24,"Zimbabwe",11,0,15,,14,2
,,24,"Zimbabwe",,1,1,,14,2
,,24,"Zimbabwe",,1,13,,14,2
,,24,"Zimbabwe",,1,13,,14,2
,,24,"Zimbabwe",,1,13,,14,2
